Date,MonthNo,MonthName,Month,Quarter,Year,Running Year,Running Months,Rolling Period,Rolling Period Sort,MonthIndex
01-01-1999 00:00,1,Jan,Jan-99,Q1,1999,16,,,,1
01-02-1999 00:00,1,Jan,Jan-99,Q1,1999,16,,,,1
01-03-1999 00:00,1,Jan,Jan-99,Q1,1999,16,,,,1
01-04-1999 00:00,1,Jan,Jan-99,Q1,1999,16,,,,1
01-05-1999 00:00,1,Jan,Jan-99,Q1,1999,16,,,,1
01-06-1999 00:00,1,Jan,Jan-99,Q1,1999,16,,,,1
01-07-1999 00:00,1,Jan,Jan-99,Q1,1999,16,,,,1
01-08-1999 00:00,1,Jan,Jan-99,Q1,1999,16,,,,1
01-09-1999 00:00,1,Jan,Jan-99,Q1,1999,16,,,,1
01-10-1999 00:00,1,Jan,Jan-99,Q1,1999,16,,,,1
01-11-1999 00:00,1,Jan,Jan-99,Q1,1999,16,,,,1
01-12-1999 00:00,1,Jan,Jan-99,Q1,1999,16,,,,1
1-13-1999 12:00:00 AM,1,Jan,Jan-99,Q1,1999,16,,,,1
1-14-1999 12:00:00 AM,1,Jan,Jan-99,Q1,1999,16,,,,1
1-15-1999 12:00:00 AM,1,Jan,Jan-99,Q1,1999,16,,,,1
1-16-1999 12:00:00 AM,1,Jan,Jan-99,Q1,1999,16,,,,1
1-17-1999 12:00:00 AM,1,Jan,Jan-99,Q1,1999,16,,,,1
1-18-1999 12:00:00 AM,1,Jan,Jan-99,Q1,1999,16,,,,1
1-19-1999 12:00:00 AM,1,Jan,Jan-99,Q1,1999,16,,,,1
1-20-1999 12:00:00 AM,1,Jan,Jan-99,Q1,1999,16,,,,1
1-21-1999 12:00:00 AM,1,Jan,Jan-99,Q1,1999,16,,,,1
1-22-1999 12:00:00 AM,1,Jan,Jan-99,Q1,1999,16,,,,1
1-23-1999 12:00:00 AM,1,Jan,Jan-99,Q1,1999,16,,,,1
1-24-1999 12:00:00 AM,1,Jan,Jan-99,Q1,1999,16,,,,1
1-25-1999 12:00:00 AM,1,Jan,Jan-99,Q1,1999,16,,,,1
1-26-1999 12:00:00 AM,1,Jan,Jan-99,Q1,1999,16,,,,1
1-27-1999 12:00:00 AM,1,Jan,Jan-99,Q1,1999,16,,,,1
1-28-1999 12:00:00 AM,1,Jan,Jan-99,Q1,1999,16,,,,1
1-29-1999 12:00:00 AM,1,Jan,Jan-99,Q1,1999,16,,,,1
1-30-1999 12:00:00 AM,1,Jan,Jan-99,Q1,1999,16,,,,1
1-31-1999 12:00:00 AM,1,Jan,Jan-99,Q1,1999,16,,,,1
02-01-1999 00:00,2,Feb,Feb-99,Q1,1999,16,,,,2
02-02-1999 00:00,2,Feb,Feb-99,Q1,1999,16,,,,2
02-03-1999 00:00,2,Feb,Feb-99,Q1,1999,16,,,,2
02-04-1999 00:00,2,Feb,Feb-99,Q1,1999,16,,,,2
02-05-1999 00:00,2,Feb,Feb-99,Q1,1999,16,,,,2
02-06-1999 00:00,2,Feb,Feb-99,Q1,1999,16,,,,2
02-07-1999 00:00,2,Feb,Feb-99,Q1,1999,16,,,,2
02-08-1999 00:00,2,Feb,Feb-99,Q1,1999,16,,,,2
02-09-1999 00:00,2,Feb,Feb-99,Q1,1999,16,,,,2
02-10-1999 00:00,2,Feb,Feb-99,Q1,1999,16,,,,2
02-11-1999 00:00,2,Feb,Feb-99,Q1,1999,16,,,,2
02-12-1999 00:00,2,Feb,Feb-99,Q1,1999,16,,,,2
2-13-1999 12:00:00 AM,2,Feb,Feb-99,Q1,1999,16,,,,2
2-14-1999 12:00:00 AM,2,Feb,Feb-99,Q1,1999,16,,,,2
2-15-1999 12:00:00 AM,2,Feb,Feb-99,Q1,1999,16,,,,2
2-16-1999 12:00:00 AM,2,Feb,Feb-99,Q1,1999,16,,,,2
2-17-1999 12:00:00 AM,2,Feb,Feb-99,Q1,1999,16,,,,2
2-18-1999 12:00:00 AM,2,Feb,Feb-99,Q1,1999,16,,,,2
2-19-1999 12:00:00 AM,2,Feb,Feb-99,Q1,1999,16,,,,2
2-20-1999 12:00:00 AM,2,Feb,Feb-99,Q1,1999,16,,,,2
2-21-1999 12:00:00 AM,2,Feb,Feb-99,Q1,1999,16,,,,2
2-22-1999 12:00:00 AM,2,Feb,Feb-99,Q1,1999,16,,,,2
2-23-1999 12:00:00 AM,2,Feb,Feb-99,Q1,1999,16,,,,2
2-24-1999 12:00:00 AM,2,Feb,Feb-99,Q1,1999,16,,,,2
2-25-1999 12:00:00 AM,2,Feb,Feb-99,Q1,1999,16,,,,2
2-26-1999 12:00:00 AM,2,Feb,Feb-99,Q1,1999,16,,,,2
2-27-1999 12:00:00 AM,2,Feb,Feb-99,Q1,1999,16,,,,2
2-28-1999 12:00:00 AM,2,Feb,Feb-99,Q1,1999,16,,,,2
03-01-1999 00:00,3,Mar,Mar-99,Q1,1999,16,,,,3
03-02-1999 00:00,3,Mar,Mar-99,Q1,1999,16,,,,3
03-03-1999 00:00,3,Mar,Mar-99,Q1,1999,16,,,,3
